Serial_ID,Question,Lesson,Grade,Difficulty,A,B,C,D,Correct Answer
1753,علامة النصب في الملحق بجمع المؤنث السالم هي:,الملحق بجمع المؤنث السالم,8,سهل,الياء,الكسرة,الضمة,الفتحة,د
1754,"في جملة ""أثنيت على عرفاتِ الجميلة""، ما علامة جر كلمة عرفات؟",الملحق بجمع المؤنث السالم,8,سهل,الضمة,الفتحة,الياء,الكسرة,د
1755,"ما حكم كلمة ""أولات"" من حيث عملها النحوي؟",الملحق بجمع المؤنث السالم,10,صعب,جمع تكسير يُعامل مثل المفرد,مفرد تُعامل معاملة الفعل,ملحق بجمع المؤنث السالم وتعامل معاملة الجمع,جمع مؤنث سالم يُعامل كالمثنى,ج
1756,كلمة (عرفات) تُعامل في النصب على أنها:,الملحق بجمع المؤنث السالم,10,صعب,منصوبة بالياء,منصوبة بالفتحة,منصوبة بالكسر,مرفوعة بالأصل,ب
1757,أي الجمل التالية تحتوي على كلمة ملحقة بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,9,متوسط,الطالبات ناجحات,الأمهات مجتهدات,عرفات مكان مقدس,الحدائق واسعة,ج
1758,ما نوع إعراب كلمة (عرفات) في الجملة: وقف المسلمون على عرفات؟,الملحق بجمع المؤنث السالم,10,متوسط,جمع مؤنث سالم,مفردة معربة,جمع تكسير,ملحق بجمع المؤنث السالم,د
1759,كلمة (أذرعات) في الجملة: سافرت إلى أذرعات، تُعرب:,الملحق بجمع المؤنث السالم,8,سهل,ملحق بجمع المؤنث السالم,مفردة,جمع مؤنث سالم,جمع تكسير,أ
1760,كلمة (أولات) في الجملة: أولات العلم محبوبات، تُعرب:,الملحق بجمع المؤنث السالم,9,صعب,ملحق بجمع المؤنث السالم,اسم إشارة,مفردة معربة,جمع تكسير,أ
1761,أي الكلمات التالية تُعتبر ملحقة بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,9,صعب,الطالبات,عرفات,الكلمات,المجتهدات,ب
1762,أي الجمل تحتوي على كلمة تُعرب كملحق بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,8,متوسط,الطالبات فهمن الدرس,عرفات مليئة بالزوار,العالمات قدمن البحث,المجتهدات حصلن على الجوائز,ب
1763,ما علامة إعراب كلمة (عرفات) في الجملة: وصلت الحجاج إلى عرفات؟,الملحق بجمع المؤنث السالم,10,صعب,الفتحة,الضمة,علامة إعراب فرعية,الكسرة,د
1764,ما القاعدة النحوية التي تنطبق على الملحق بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,9,صعب,يُعرب بالعلامات الإعرابية الأصلية,يُعرب بعلامة إعراب المفرد,يُعرب بعلامات إعراب جمع التكسير,يُعرب بعلامات جمع المؤنث السالم,د
1765,ما حكم كلمة (أذرعات) في الإعراب؟,الملحق بجمع المؤنث السالم,12,صعب,تُعرب كجمع تكسير,تُعرب كجمع مؤنث سالم,تُعرب كملحق بجمع المؤنث السالم,تُعرب كاسم مفرد,ج
1766,أي الكلمات التالية ملحقة بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,9,متوسط,طالبات,عرفات,بنات,أمهات,ب
1767,لماذا تُعتبر كلمة (عرفات) ملحقة بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,9,متوسط,لأنها اسم علم مؤنث,لأنها تُفهم في سياق الجمع,لأنها تُعرب بعلامات مفردة,لأنها ليست جمعًا حقيقيًا للمفرد,د
1768,أي من الكلمات التالية تُعدّ ملحقًا بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,9,متوسط,مرضعات,بنات,أولات,أمهات,ج
1769,تُعامل الكلمات الملحقة بجمع المؤنث السالم في حالة النصب بـ:,الملحق بجمع المؤنث السالم,8,سهل,الضمة,الياء,الفتحة,الكسرة,ج
1770,اختر الكلمة التي تُعتبر ملحقًا بجمع المؤنث السالم من بين الكلمات التالية.,الملحق بجمع المؤنث السالم,9,متوسط,أولات,نايات,صلوات,بركات,أ
1771,ما علامة الجر لجمع المؤنث السالم والملحق به؟,الملحق بجمع المؤنث السالم,8,صعب,الفتحة,الكسرة,السكون,الضمة,ب
1772,ما الفرق بين جمع المؤنث السالم والملحق به من حيث الإعراب؟,الملحق بجمع المؤنث السالم,9,متوسط,جمع المؤنث يُنصب بالياء والملحق يُنصب بالفتحة,جمع المؤنث يُرفع بالواو والملحق يُرفع بالضمة,لا فرق بينهما في الإعراب,جمع المؤنث يُجر بالياء والملحق يُجر بالسكون,ج
1773,"في الجملة: ""تكرّم المعلمات المتفوقات""، كلمة (المعلمات):",الملحق بجمع المؤنث السالم,9,سهل,ملحق بجمع المؤنث السالم,مفرد,جمع مؤنث سالم,جمع تكسير,ج
1774,عندما تُعامل كلمة (مرضعات) في الإعراب، فإنها تُعتبر:,الملحق بجمع المؤنث السالم,10,متوسط,جمع مؤنث سالم,جمع مذكر سالم,ملحق بجمع المؤنث السالم,جمع تكسير,ج
1775,كلمة (أمهات) تتبع القواعد الإعرابية لـ:,الملحق بجمع المؤنث السالم,8,متوسط,المثنى,جمع المؤنث السالم,الملحق بجمع المؤنث السالم,جمع التكسير,د
1776,"ما الحالة النحوية لكلمة (أولات) في الجملة: ""كرّمت الطالبات أولات الفضل""؟",الملحق بجمع المؤنث السالم,10,صعب,مجرورة,منصوبة,في محل نصب بدل,مرفوعة,ب
1777,أي من الخيارات التالية يشرح استعمال جمع المؤنث السالم والملحق به؟,الملحق بجمع المؤنث السالم,9,صعب,ملحق بجمع المؤنث السالم يُستخدم للوصف فقط.,جمع المؤنث السالم يُستخدم للدلالة على الجمع الحقيقي فقط.,كلاهما يتبع نفس القواعد الإعرابية ولا فرق بينهما في الاستعمال.,الملحق بجمع المؤنث يُنصب بالياء فقط خلافاً للجمع الحقيقي.,ج
1778,أي من الكلمات التالية ليست من الملحق بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,11,صعب,أذرعات,عرفات,طالبات,الأدبيات,ج
1779,"ما علامة إعراب كلمة ""عرفات"" إذا جاءت في محل نصب؟",الملحق بجمع المؤنث السالم,9,صعب,الضمة,الفتحة,الكسرة,السكون,ج
1780,"كلمة ""أذرعات"" في الجملة ""زرت أذرعات في رحلتي"":",الملحق بجمع المؤنث السالم,9,صعب,مثنى مرفوع وعلامة رفعه الضمة,ملحقة بجمع المؤنث السالم منصوبة وعلامة نصبها الكسرة,جمع تكسير مجرور وعلامة جره الفتحة,ملحقة بجمع المؤنث السالم مجرورة وعلامة جرها الكسرة,د
1781,"ما الإعراب الصحيح لكلمة ""عرفات"" في الجملة ""صليت في عرفات""؟",الملحق بجمع المؤنث السالم,10,سهل,منصوبة وعلامة نصبها الكسرة,مجرورة وعلامة جرها الكسرة,مجرورة وعلامة جرها الفتحة,منصوبة وعلامة نصبها الفتحة,ج
1782,"ما نوع كلمة ""أولات"" في الجملة ""المعلمات أولات فضل كبير""؟",الملحق بجمع المؤنث السالم,9,سهل,اسم مفرد,جمع مؤنث سالم,جمع تكسير,ملحق بجمع المؤنث السالم,د
1783,"ما حالة الإعراب الصحيحة لكلمة ""الأدبيات"" إذا كانت في محل رفع؟",الملحق بجمع المؤنث السالم,8,سهل,مجرورة وعلامة جرها الضمة,مرفوعة وعلامة رفعها الضمة,مرفوعة وعلامة رفعها الكسرة,منصوبة وعلامة نصبها الكسرة,ب
1784,"كم عدد الكلمات التي تُعتبر ملحقًا بجمع المؤنث السالم في الجملة ""زرت عرفات وأذرعات""؟",الملحق بجمع المؤنث السالم,10,سهل,اثنتان,ثلاثة,لا شيء,واحدة,أ
1785,"كلمة ""عرفات"" تُعرب على أنها:",الملحق بجمع المؤنث السالم,10,متوسط,ملحق بجمع المؤنث السالم يعرب حسب موقعه في الجملة,جمع تكسير يعرب بالضمة,ملحق بجمع المؤنث السالم يعرب بالكسرة دائمًا,جمع مؤنث سالم يعرب بالكسرة,أ
1786,"ما إعراب كلمة ""عرفات"" في جملة ""ذهبت إلى عرفات""؟",الملحق بجمع المؤنث السالم,10,صعب,منصوبة وعلامة نصبها الفتحة,مجرورة وعلامة جرها الكسرة,منصوبة وعلامة نصبها الكسرة,مجرورة وعلامة جرها الفتحة,د
1787,"كلمة ""أذرعات"" وردت في كثير من كتب الجغرافيا، وهي تُعرب على أنها:",الملحق بجمع المؤنث السالم,10,سهل,جمع تكسير,ملحق بجمع المؤنث السالم,اسم مفرد,مثنى,ب
1788,أيّ الكلمات الآتية تُعدُّ من الملحق بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,10,صعب,عرفاتٍ,زهورٌ,أشجارٌ,مدارسُ,أ
1789,"ما علامة إعراب كلمة (أمواتًا) في الجملة: ""كنتم أمواتًا فأحياكم؟""",الملحق بجمع المؤنث السالم,9,متوسط,الفتحة,الضمة,الكسرة,السكون,أ
1790,"""جاءت الحسناتُ تبشِّر بالأجر"". ما إعراب كلمة (الحسنات)؟",الملحق بجمع المؤنث السالم,9,سهل,مجرورة بحرف جر وعلامة الجر الكسرة,مبتدأ مرفوع وعلامة الرفع الضمة,مفعول به منصوب وعلامة النصب الفتحة,فاعل مرفوع وعلامة الرفع الضمة,د
1791,ما شرط الكلمة حتى تُعدَّ ملحقًا بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,10,سهل,أن تكون مختومة بالهاء,أن تكون مختومة بالألف والتاء الزائدتين وتُعامل كجمع المؤنث السالم,أن تكون مفردة مؤنثة,أن تكون مختومة بالتاء المفتوحة,ب
1792,أي الكلمات الآتية لا تُعتبر من الملحق بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,9,متوسط,أمواتٍ,عرفاتٍ,بيوتٍ,حسناتٍ,ج
1793,"كيف تُعرب كلمة (عرفات) في الجملة: ""وقف الحجّاج على عرفات""؟",الملحق بجمع المؤنث السالم,10,سهل,منصوبة وعلامة النصب الكسرة,مرفوعة وعلامة الرفع الضمة,مجرورة بحرف الجر وعلامة الجر الفتحة,مجرورة بحرف الجر وعلامة الجر الكسرة,د
1794,ما الفرق النحوي بين جمع المؤنث السالم والملحق بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,9,متوسط,كلاهما يُعرب بنفس الطريقة ولكن الملحق ليس جمعًا حقيقيًا,جمع المؤنث السالم يعرب بالضمة والملحق بجمع المؤنث السالم يعرب بالسكون,الملحق بجمع المؤنث السالم يُنصب بالكسرة وجمع المؤنث السالم يُنصب بالفتحة,الملحق بجمع المؤنث السالم يعرب بالميم الزائدة,أ
1795,"ما إعراب كلمة (صالحات) في الجملة: ""إن الذين آمنوا وعملوا الصالحات؟""",الملحق بجمع المؤنث السالم,10,صعب,في محل نصب وعلامة نصبها الفتحة,منصوبة وعلامة نصبها الكسرة,مجرورة وعلامة جرها الكسرة,مرفوعة وعلامة رفعها الضمة,ب
1796,"أي الخيار الصحيح حول إعراب كلمة (حسنات) في الجملة: ""أعطيتُ حسناتٍ كثيرةً؟""",الملحق بجمع المؤنث السالم,9,سهل,منصوبة وعلامة نصبها الكسرة,مجرورة بحرف جر وعلامة جرها الكسرة,مرفوعة وعلامة رفعها الضمة,منصوبة وعلامة نصبها الفتحة,أ
1797,أي الكلمات الآتية تُعرب بالكسرة نيابة عن الفتحة في حالة النصب؟,الملحق بجمع المؤنث السالم,9,سهل,شهر,طلاب,عرفات,بيوت,ج
1798,اختَر الجملة التي تحتوي على كلمة ملحقة بجمع المؤنث السالم.,الملحق بجمع المؤنث السالم,9,سهل,قرأت الأبيات الشعرية.,أعجبتني العبارات المؤثرة.,حفظت القصيدة بالكامل.,زرت عرفات أثناء الحج.,د
1799,"ما نوع إعراب كلمة (أبيات) في الجملة: ""ألَّفت القصيدة من عشرة أبيات""؟",الملحق بجمع المؤنث السالم,10,صعب,جمع مؤنث سالم وتعرب كجمع المؤنث السالم.,جمع تكسير وتعرب كالمفرد.,ملحقة بجمع المؤنث السالم وتعرب كالجمع المؤنث السالم.,ملحقة بجمع المؤنث السالم وتعرب كالمفرد.,ج
1800,"إذا جاءت كلمة (آيات) في الجملة: ""قرأت عشر آيات"". ما حالتها النحوية؟",الملحق بجمع المؤنث السالم,10,سهل,جمع تكسير وتعرب بعلامات المفرد.,ملحقة بجمع المؤنث السالم وتعرب بعلامات جمع المؤنث السالم.,ملحقة بجمع المؤنث السالم لكنها تعرب كمفرد.,جمع مؤنث سالم وتعرب بعلاماته.,ب
1801,"الجملة: ""تحدثت عن عرفات وسادات"". ما إعراب الكلمتين؟",الملحق بجمع المؤنث السالم,9,صعب,عرفات ملحق بجمع المؤنث السالم؛ سادات جمع تكسير.,عرفات ملحق بجمع المؤنث السالم؛ سادات ملحق بجمع المذكر السالم.,عرفات جمع مؤنث سالم؛ سادات ملحق بجمع مؤنث سالم.,عرفات ملحق بجمع مؤنث سالم؛ سادات جمع مذكر سالم.,ب
1802,أي الكلمات التالية تُعد من الملحق بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,9,متوسط,عبارات,رياضات,عرفات,جملات,ج
1803,"ما إعراب كلمة (أولات) في الجملة: ""هنَّ أولات عزم""؟",الملحق بجمع المؤنث السالم,11,متوسط,ملحقة بجمع المؤنث السالم وتعرب كالملحق.,جمع مؤنث سالم وتعرب كجمع المؤنث السالم.,اسم مفرد وتعرب كالمفرد.,ملحقة بجمع المذكر السالم وتعرب كالملحق.,أ
1804,"اختر الإجابة الصحيحة: ""لا يكرم أولات الفضل إلا ذو المروءة"". ما نوع (أولات)؟",الملحق بجمع المؤنث السالم,9,متوسط,اسم مفرد مؤنث.,ملحقة بجمع المؤنث السالم.,جمع مؤنث سالم.,ملحقة بجمع المذكر السالم.,ب
1805,"في الجملة: ""هؤلاء السيدات أولات فضل عظيم"". ما العلاقة بين كلمتي (أولات) و(فضل)؟",الملحق بجمع المؤنث السالم,10,متوسط,أولات: نعت مرفوع — فضل: مفعول به.,أولات: مبتدأ مرفوع — فضل: نعت منصوب.,أولات: خبر مرفوع — فضل: مضاف إليه.,أولات: اسم ملحق بجمع المؤنث السالم — فضل: مضاف إليه مجرور.,د
1806,"في الجملة: ""رأيت عرفات خلال رحلتي""، كيف تُعرب كلمة (عرفات)؟",الملحق بجمع المؤنث السالم,9,سهل,اسم جمع مذكر سالم منصوب.,اسم مفرد منصوب بالفتحة.,اسم ملحق بجمع المؤنث السالم منصوب بالفتحة.,اسم ملحق بجمع المؤنث السالم منصوب بالكسرة.,د
1807,أي الكلمات التالية تُعرب كعلامات الجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,9,سهل,معلمات,سادات,عبارات,عرفات,د
1808,اختر الكلمة التي تعتبر من الملحقات بجمع المؤنث السالم:,الملحق بجمع المؤنث السالم,9,متوسط,عرفات,كتب,طالبات,مدرسات,أ
1809,ما نوع الإعراب لكلمة (أذرعات) في الجملة: زرت أذرعات في الصيف؟,الملحق بجمع المؤنث السالم,10,متوسط,جمع مؤنث سالم مجرورة,ملحقة بجمع المؤنث السالم مجرورة,ملحقة بجمع المؤنث السالم منصوبة,ملحقة بجمع المؤنث السالم مرفوعة,ب
1810,في الجملة: (كانت أولات الخير حاضرات)، ما موقع كلمة (أولات) من الإعراب؟,الملحق بجمع المؤنث السالم,11,سهل,مبتدأ مرفوع,اسم كان منصوب,ملحق بجمع المؤنث السالم خبر كان مرفوع,خبر مرفوع,ج
1811,أي الكلمات التالية ليست من الملحقات بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,9,متوسط,أولات,فتيات,عرفات,أذرعات,ب
1812,ما سبب عدم اعتبار كلمة (عرفات) جمع مؤنث سالم؟,الملحق بجمع المؤنث السالم,9,سهل,لأنها تدل على جمع تكسير,لأنها لا تنتهي بالتاء المربوطة,لأنها ليست ملحقة بجمع المؤنث,لأنها ليست اسمًا مؤنثًا أصليًا,د
1813,أي الجمل الآتية تحتوي على ملحق بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,9,سهل,التقيت الطالبات المتفوقات.,كرمت الفتيات المجتهدات.,قرأت قصائد جميلة.,زار الحجاج عرفات المقدسة.,د
1814,ما علامة إعراب كلمة (أولات) في الجملة: نحن أولاتُ الإرادة القوية؟,الملحق بجمع المؤنث السالم,11,سهل,الكسرة لأنها مجرورة,الفتحة لأنها منصوبة,الضمة لأنها مرفوعة,السكون لأنها ملحقة بجمع المؤنث السالم,ج
1815,حدد نوع جمع كلمة (سعادات) في الجملة: تحققت سعاداتُ الناس بعد انتهاء الأزمة.,الملحق بجمع المؤنث السالم,9,صعب,ملحق بجمع المؤنث السالم,اسم مفرد,جمع مؤنث سالم,جمع تكسير,أ
1816,ما الحالة الإعرابية لكلمة (عرفات) في جملة: وصل الحجاج إلى عرفات؟,الملحق بجمع المؤنث السالم,8,صعب,مرفوعة بالضمة,مجرورة بالكسرة,منصوبة بالفتحة,ملحق بجمع المؤنث السالم مرفوعة,ب
1817,أي الكلمات التالية تعتبر ملحقًا بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,9,صعب,عرفات,فتيات,مدرسات,طالبات,أ
1818,إعراب كلمة (عرفات) في الجملة (وقف الحجاج على عرفات) هو:,الملحق بجمع المؤنث السالم,10,سهل,جمع مؤنث سالم منصوبة بالفتحة,جمع مؤنث سالم مجرورة بالكسرة,ملحق بجمع المؤنث السالم مجرورة بالفتحة,ملحق بجمع المؤنث السالم مجرورة بالكسرة,ج
1819,ما نوع الجمع في كلمة (أذرعات)؟,الملحق بجمع المؤنث السالم,9,متوسط,ملحق بجمع المؤنث السالم,جمع مؤنث سالم,جمع مذكر سالم,جمع تكسير,أ
1820,ما علامة الإعراب في كلمة (أبيات) في جملة (ألقيت ثلاثة أبيات)؟,الملحق بجمع المؤنث السالم,7,صعب,الفتحة,الضمة,الياء,الكسرة,أ
1821,أي الكلمات التالية يُعتبر من الملحق بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,9,صعب,صلوات,كلمات,صالات,منازل,أ
1822,ما سبب إلحاق كلمة (عرفات) بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,9,صعب,لوجود ألف وتاء في آخرها,لأنها ليست جمعًا أصليًا,لأنها جاءت على صيغة الجمع المؤنث السالم,لأنها تستخدم في الجمع فقط,ب
1823,كلمة (بنات) في جملة (تكرم بنات القرية الزوار) ماذا تُعتبر؟,الملحق بجمع المؤنث السالم,8,صعب,ملحق بجمع المؤنث السالم,جمع تكسير,مفرد مؤنث,جمع مؤنث سالم,د
1824,كلمة (أمهات) في جملة (رأيت أمهات الطلاب) تُعتبر:,الملحق بجمع المؤنث السالم,8,صعب,ملحق بجمع المؤنث السالم,جمع مؤنث سالم,جمع تكسير,مفرد مؤنث,أ
1825,اختر الكلمة التي تعد جمع مؤنث سالم في الجملة التالية (ذهبت البنات إلى المدرسة):,الملحق بجمع المؤنث السالم,7,سهل,المدرسة,إلى,ذهبت,البنات,د
1826,أي الكلمات التالية تُلحق بجمع المؤنث السالم في النحو العربي؟,الملحق بجمع المؤنث السالم,9,متوسط,مدرسات,مسلمات,عرفات,بنات,ج
1827,ما علامة إعراب كلمة (عرفات) في جملة (وقف الحجاج على عرفات)؟,الملحق بجمع المؤنث السالم,9,متوسط,الضمة,الفتحة,الكسرة,السكون,ب
1828,ما علامة إعراب كلمة (عرفات) في الجملة: زرت عرفات المشهورة بتاريخها؟,الملحق بجمع المؤنث السالم,7,متوسط,السكون,الكسرة,الفتحة,الضمة,ب
1829,في أي من الجمل التالية تعد كلمة (أولات) ملحقة بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,10,صعب,هذه عطيات جميلة. تُستخدم للزينة.,أولات العلم هن مصدر التقدم.,أتمنى أن تزور أولات الخير.,طالباتي أولات نجاح وتميز.,ب
1830,ما إعراب كلمة (أصوات) في الجملة: سمعتُ أصواتًا واضحة ونقية؟,الملحق بجمع المؤنث السالم,8,متوسط,جمع تكسير مرفوع,مفرد مؤنث منصوب,ملحق بجمع المؤنث السالم منصوب,جمع مؤنث سالم في حالة النصب,ج
1831,أي من الكلمات التالية ليس ملحقًا بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,10,سهل,أولات,عنايات,أوقات,عرفات,ج
1832,كيف تُعرب كلمة (عرفات) في الجملة: وقف الحجاج عند عرفات؟,الملحق بجمع المؤنث السالم,9,سهل,ملحق بجمع المؤنث السالم في حالة النصب,ملحق بجمع المذكَّر السالم في حالة الرفع,ملحق بجمع المؤنث السالم في حالة الجر,ملحق بجمع المؤنث السالم في حالة الرفع,د
1833,ما الفرق بين جمع المؤنث السالم والملحق بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,10,متوسط,جمع المؤنث السالم ينتهي بتاء مربوطة دائمًا، أما الملحق خاص بالصفات.,جمع المؤنث السالم ضرورة ينتهي بتاء مفتوحة، أما الملحق به تبعية لاسم علم.,جمع المؤنث السالم ينتهي بألف وتاء، والملحق ينتمي لأسماء محددة.,جمع المؤنث السالم يعرب بالحركات، والملحق يعرب بالإعراب التقديري.,ج
1834,ما حالة الإعراب الصحيحة لكلمة (عنايات) في الجملة: قدمتُ عناياتٍ إلى المستشفى؟,الملحق بجمع المؤنث السالم,8,سهل,رفع بالضمة,جرّ بالكسرة,نصب بالكسرة,نصب بالفتحة,ج
1835,ما إعراب كلمة (أولات) في الجملة: أولاتُ العقل يساهمن في تطوير المجتمعات؟,الملحق بجمع المؤنث السالم,11,متوسط,مبتدأ ملحق بجمع المؤنث السالم مرفوع بضمة مقدرة,ملحق بجمع المؤنث السالم مرفوع بالضمة الظاهرة,مبتدأ مرفوع بالضمة,فاعل مرفوع بالضمة,ب
1836,كلمة (عرفات) دائمًا تُعرب كملحق بجمع المؤنث السالم. اختر التعريف الصحيح:,الملحق بجمع المؤنث السالم,9,متوسط,ملحق بجمع المؤنث السالم ينتهي بالتاء ويُعرب بعلامات أصلية.,جمع مؤنث سالم ينتهي باختصاص حروف الجر.,اسم ليس له قاعدة ثابتة للإعراب.,جمع تكسير يستخدم في الأفعال والجمل الفعلية.,أ
1837,"كلمة (أصوات) عندما تأتي في السياق التالي: ""سمعتُ أصواتًا مرتفعة"". كيف تعرب؟",الملحق بجمع المؤنث السالم,10,صعب,مفعول به منصوب بكسرة ظاهرة بدلًا من الفتحة,منصوب علامة النصب فيه التقريبية,اسم منصوب ملحق بجمع المؤنث السالم,مفعول به منصوب علامة نصبه الضمة المقدرة,أ
1838,"ما علامة إعراب كلمة (عرفات) في الجملة: ""زرت عرفاتِ في العيد""؟",الملحق بجمع المؤنث السالم,10,صعب,منصوبة بالفتحة,منصوبة بالكسرة,مجرورة بالكسرة,مجرورة بالفتحة,د
1839,كل هذه الكلمات تُعتبر ملحقًا بجمع المؤنث السالم، ما عدا:,الملحق بجمع المؤنث السالم,9,متوسط,أذرعات,عرفات,أولات,فتيات,د
1840,"في الجملة: ""إنَّ أوقاتِ الخير مباركة""، كلمة (أوقات) هي:",الملحق بجمع المؤنث السالم,10,سهل,جمع مؤنث سالم مجرور,ملحق بجمع المؤنث السالم منصوب,جمع مؤنث سالم منصوب,ملحق بجمع المؤنث السالم مجرور,ب
1841,أي الكلمات التالية تُعرب كملحق بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,9,صعب,كتب,عرفات,أقلام,الصلوات,ب
1842,"ما نوع الإعراب في كلمة (عرفات) في الجملة: ""جلستُ في عرفاتِ""؟",الملحق بجمع المؤنث السالم,8,صعب,مجرورة بالفتحة لأنها اسم ممنوع من الصرف,مجرورة بالفتحة لأنها ملحق بجمع المؤنث السالم,منصوبة بالكسرة لأنها ملحق بجمع المؤنث السالم,مجرورة بالكسرة لأنها جمع مؤنث سالم,ب
1843,"في الجملة: ""وإن كُنَّ أولاتِ فضلٍ فعليهم أن يُعِينوا المحتاجين""، كيف تعرب كلمة (أولات)؟",الملحق بجمع المؤنث السالم,9,متوسط,منصوبة بالكسرة,مجرورة بالكسرة,مجرورة بالفتحة,منصوبة بالفتحة,ج
1844,"في الجملة: ""احترمت أولاتِ الرأي السديد""، كيف تُعرب كلمة (أولات)؟",الملحق بجمع المؤنث السالم,9,صعب,مجرورة بالفتحة,منصوبة بالكسرة,منصوبة بالفتحة,مجرورة بالكسرة,أ
1845,أي من الكلمات التالية ليست ملحقًا بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,9,سهل,أولات,فتيات,عرفات,أذرعات,ب
1846,كلمة (عرفات) تُعرب في حالة الجر:,الملحق بجمع المؤنث السالم,9,متوسط,بالكسرة,بالضمة,بالفتحة,بالسكون,ج
1847,ما الفرق في الإعراب بين جمع المؤنث السالم والملحق بجمع المؤنث السالم؟,الملحق بجمع المؤنث السالم,9,متوسط,جمع المؤنث يُنصب ويجر بالكسرة والملحق يُنصب ويجر بالفتحة,جمع المؤنث يُنجر بالفتحة والملحق يُنجر بالكسرة,جمع المؤنث يُنصب بالفتحة والملحق يُنصب بالكسرة,جمع المؤنث السالم تُعرب بالعلامات الأصلية والملحق بالعلامات الفرعية,أ
1848,"كلمة (أذرعات) في جملة ""زرت أذرعات في سوريا"" تُعرب كـ:",الملحق بجمع المؤنث السالم,9,سهل,جمع تكسير,اسم مفرد,جمع مؤنث سالم,ملحقة بجمع المؤنث السالم,د
1849,"إعراب كلمة (بِنات) في الجملة: ""أكرم البنات في المدرسة"" هو:",الملحق بجمع المؤنث السالم,9,متوسط,مرفوعة بالضمة,منصوبة بالفتحة,مجرورة بالكسرة,منصوبة بالكسرة,ج
1850,"كلمة (أولات) في جملة ""أولات الفضل محبوبات"" تُعرب كـ:",الملحق بجمع المؤنث السالم,8,متوسط,جمع تكسير,ملحقة بجمع المؤنث السالم,جمع مؤنث سالم,اسم جمع,ب
1851,"في الجملة ""تلك حسنات عظيمة""، كلمة (حسنات):",الملحق بجمع المؤنث السالم,9,متوسط,جمع مؤنث سالم,ملحقة بجمع المؤنث السالم,اسم مفرد,جمع تكسير,ب
1852,"الجملة ""أكرمت فتيات القرية"" تحتوي على كلمة ملحقة بجمع المؤنث السالم وهي:",الملحق بجمع المؤنث السالم,9,متوسط,لم تُذكر كلمة ملحقة بجمع المؤنث السالم,القرية,فتيات,أكرمت,ج
1853,من الكلمات التالية، اختر الكلمة الملحقة بجمع المؤنث السالم:,الملحق بجمع المؤنث السالم,9,سهل,أمهات,أذرعات,أوصاف,كتاب,ب
1854,في الإعراب، الكلمات الملحقة بجمع المؤنث السالم ترتبط بعلامات الإعراب التالية:,الملحق بجمع المؤنث السالم,10,صعب,الكسرة في كل الحالات,الضمة في كل الحالات,الفتحة في كل الحالات,الضمة إذا كانت مرفوعة، والكسرة في باقي الحالات,د
1855,"في الجملة ""علمت الطالبات أولات الفضل""، كلمة (أولات):",الملحق بجمع المؤنث السالم,9,متوسط,ملحقة بجمع المؤنث السالم وتعرب بالكسرة,مفعول به منصوب بالفتحة,جمع تكسير وتعرب بالفتحة,ملحقة بجمع المؤنث السالم وتعرب بالضمة,أ
1856,"الجملة ""إن الحسنات يُذهبن السيئات"" تحتوي على كلمة ملحقة بجمع المؤنث السالم هي:",الملحق بجمع المؤنث السالم,8,متوسط,إن,السيئات,الحسنات,يُذهبن,ب
1857,"اختار الإجابة الصحيحة: كلمة (أشفات) في الجملة ""كانت أشفات الطائر واضحة"" تعتبر:",الملحق بجمع المؤنث السالم,9,سهل,جمع تكسير,مفرد,ملحقة بجمع المؤنث السالم,جمع مؤنث سالم,ج
1858,"ما علامة إعراب كلمة (عرفات) في الجملة ""وقف الحجاج على جبل عرفات""؟",الملحق بجمع المؤنث السالم,9,صعب,الفتحة,الألف,الكسرة,الضمة,ج
1859,"كلمة (عطيات) في الجملة ""قُدمت عطيات للضيف الكبير"" تعرب على النحو التالي:",الملحق بجمع المؤنث السالم,9,صعب,مرفوعة بالضمة,مجرورة بالكسرة,مجرورة بالفتحة,منصوبة بالكسرة,د
